"assay_row_id","source_branch","source_file","source_sheet","source_sheet_row","sample_id_raw","sample_id_base","ring","feather_type_raw","feather_type","is_repeat_assay","amount_mg","cn_mass_ratio","sex","tag_id_adjusted","tag_id_raw_examples","status","status_bin","migratory_status_comment","longitude_capture","latitude_capture","status_known","source_phenotype_row_ids","source_phenotype_row_count","sample_identifier_examples","measurement_id_normalised_d15n","measurement_id_normalised_d13c","raw_normalised_d15n","raw_normalised_d13c","adjudicated_normalised_d15n","adjudicated_normalised_d13c","assay_qc_action_normalised_d15n","assay_qc_action_normalised_d13c","assay_qc_reason_normalised_d15n","assay_qc_reason_normalised_d13c","assay_qc_evidence_source_normalised_d15n","assay_qc_evidence_source_normalised_d13c","assay_qc_decision_id_normalised_d15n","assay_qc_decision_id_normalised_d13c","assay_qc_explicit_normalised_d15n","assay_qc_explicit_normalised_d13c","assay_qc_value_changed_normalised_d15n","assay_qc_value_changed_normalised_d13c","assay_qc_value_excluded_normalised_d15n","assay_qc_value_excluded_normalised_d13c","assay_qc_manual_review_pending_normalised_d15n","assay_qc_manual_review_pending_normalised_d13c","assay_qc_manual_review_reason_normalised_d15n","assay_qc_manual_review_reason_normalised_d13c","assay_qc_manual_review_notes_normalised_d15n","assay_qc_manual_review_notes_normalised_d13c"
"live_assay_0001","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",12,"04258275_2024-10-14_breast feather","04258275_2024-10-14_breast feather","04258275","breast","Breast",FALSE,0.265,3.3335208711136,"M",,,"AU migrant","migrant","Originally banded on King Island, Tasmania in 2010 as a first year",167.744617,-45.414383,TRUE,"live_pheno_001|live_pheno_018",2,"04258275_2024-10-14","live_measurement_0001","live_measurement_0002",10.2217622885413,-24.7783096085409,10.2217622885413,-24.7783096085409,"keep","keep",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
"live_assay_0002","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",13,"04258275_2024-10-14_primary feather","04258275_2024-10-14_primary feather","04258275","primary","Primary",FALSE,0.236,3.34213786994107,"M",,,"AU migrant","migrant","Originally banded on King Island, Tasmania in 2010 as a first year",167.744617,-45.414383,TRUE,"live_pheno_001|live_pheno_018",2,"04258275_2024-10-14","live_measurement_0003","live_measurement_0004",8.09220874561123,-22.4357835112693,8.09220874561123,-22.4357835112693,"keep","keep",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
"live_assay_0003","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",14,"CP16140_2024-10-08_breast feather","CP16140_2024-10-08_breast feather","CP16140","breast","Breast",FALSE,0.228,3.36466177534886,"F",,,"NI migrant","migrant","Resighting at Whangaehu river mouth, North Island on May 16",173.667221,-42.413402,TRUE,"live_pheno_035|live_pheno_042",2,"CP16140_2024-10-08","live_measurement_0005","live_measurement_0006",10.2436446696457,-21.5316150652432,10.2436446696457,-21.5316150652432,"keep","keep",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
"live_assay_0004","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",15,"CP16140_2024-10-08_primary feather","CP16140_2024-10-08_primary feather","CP16140","primary","Primary",FALSE,0.229,3.37238633440395,"F",,,"NI migrant","migrant","Resighting at Whangaehu river mouth, North Island on May 16",173.667221,-42.413402,TRUE,"live_pheno_035|live_pheno_042",2,"CP16140_2024-10-08","live_measurement_0007","live_measurement_0008",15.3931344565886,-17.7990321365754,15.3931344565886,-17.7990321365754,"keep","keep",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
"live_assay_0005","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",16,"CP16409_2024-10-02_breast feather","CP16409_2024-10-02_breast feather","CP16409","breast","Breast",FALSE,0.235,3.34075915033133,"F","266440","266440","resident","resident","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",172.431853,-43.845691,TRUE,"live_pheno_069|live_pheno_091",2,"CP16409_2024-10-02","live_measurement_0009","live_measurement_0010",12.7790169166933,-22.3942241992883,12.7790169166933,-22.3942241992883,"keep","keep",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
"live_assay_0006","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",17,"CP16409_2024-10-02_primary feather","CP16409_2024-10-02_primary feather","CP16409","primary","Primary",FALSE,0.231,3.46248814374539,"F","266440","266440","resident","resident","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",172.431853,-43.845691,TRUE,"live_pheno_069|live_pheno_091",2,"CP16409_2024-10-02","live_measurement_0011","live_measurement_0012",12.944080586374,-21.9745952015128,12.944080586374,-21.9745952015128,"keep","keep",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
"live_assay_0007","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",18,"CP16446_2024-10-21_breast feather","CP16446_2024-10-21_breast feather","CP16446","breast","Breast",FALSE,0.252,3.43311333298677,"M","0A96","0A96","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","live_measurement_0013","live_measurement_0014",11.1903904714398,-15.3076749672336,11.2253930192501,-15.4022577127146,"replace_with_average","replace_with_average","Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.","Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.","sheet note|green average","sheet note|green average","aqc_0001","aqc_0004",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,
"live_assay_0008","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",19,"CP16446_2024-10-21_breast feather_rpt","CP16446_2024-10-21_breast feather","CP16446","breast","Breast",TRUE,0.221,3.38423888092233,"M","0A96","0A96","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","live_measurement_0015","live_measurement_0016",11.2603955670603,-17.3433011082292,11.2253930192501,,"replace_with_average","exclude","Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.","Do not use these data","sheet note|green average","sheet note|green average","aqc_0002","aqc_0005",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,
"live_assay_0009","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",20,"CP16446_2024-10-21_breast feather_rpt","CP16446_2024-10-21_breast feather","CP16446","breast","Breast",TRUE,0.208,3.52233625564063,"M","0A96","0A96","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","live_measurement_0017","live_measurement_0018",10.0227283253739,-15.4968404581956,,-15.4022577127146,"exclude","replace_with_average","Do not use data from this repeat anlaysis","Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.","sheet note|green average","sheet note|green average","aqc_0003","aqc_0006",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,
"live_assay_0010","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",21,"CP16446_2024-10-21_primary feather","CP16446_2024-10-21_primary feather","CP16446","primary","Primary",FALSE,0.307,3.31666843417012,"M","0A96","0A96","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","live_measurement_0019","live_measurement_0020",14.0444474706613,-20.6758279163219,14.0444474706613,-20.6758279163219,"keep","keep",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
