"assay_row_id","source_branch","source_file","source_sheet","source_sheet_row","sample_id_raw","sample_id_base","ring","feather_type_raw","feather_type","is_repeat_assay","amount_mg","cn_mass_ratio","isotope","raw_value","measurement_id","source_phenotype_row_ids","source_phenotype_row_count","sample_identifier_examples","sex","tag_id_adjusted","tag_id_raw_examples","sampling_location_general","sampling_location_specific","sampling_site_label","status","status_bin","migratory_status_comment","longitude_capture","latitude_capture","status_known","assay_qc_decision_id","assay_qc_action","assay_qc_reason","assay_qc_evidence_source","assay_qc_decision_class","assay_qc_rule_basis","assay_qc_notes","assay_qc_repeat_pair_detected","assay_qc_repeat_detection_sources","assay_qc_repeat_detection_pattern","assay_qc_repeat_resolution_status","assay_qc_audit_retained","assay_qc_excluded_by_lab_instruction","assay_qc_contributes_to_model_value","assay_qc_model_value_method","assay_qc_model_source_rows","assay_qc_strict_row_action","assay_qc_sensitivity_row_action","assay_qc_sensitivity_selected_source_row","assay_qc_sensitivity_selected_value","qc_adjudicated_value","value","audit_value","strict_value","sensitivity_value","included_in_canonical","included_in_strict","included_in_sensitivity","assay_qc_explicit","assay_qc_value_changed","assay_qc_value_excluded","assay_qc_manual_review_pending","assay_qc_manual_review_reason","assay_qc_manual_review_notes"
"live_cn_assay_0001","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",12,"04258275_2024-10-14_breast feather","04258275_2024-10-14_breast feather","04258275","breast","Breast",FALSE,0.265,3.3335208711136,"normalised_d15n",10.2217622885413,"live_measurement_0001","live_pheno_001|live_pheno_018",2,"04258275_2024-10-14","M",,,"South Island, New Zealand","Te Anau, Southland","Te Anau","AU migrant","migrant","Originally banded on King Island, Tasmania in 2010 as a first year",167.744617,-45.414383,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","12","include","include",,,,10.2217622885413,10.2217622885413,10.2217622885413,10.2217622885413,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0001","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",12,"04258275_2024-10-14_breast feather","04258275_2024-10-14_breast feather","04258275","breast","Breast",FALSE,0.265,3.3335208711136,"normalised_d13c",-24.7783096085409,"live_measurement_0002","live_pheno_001|live_pheno_018",2,"04258275_2024-10-14","M",,,"South Island, New Zealand","Te Anau, Southland","Te Anau","AU migrant","migrant","Originally banded on King Island, Tasmania in 2010 as a first year",167.744617,-45.414383,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","12","include","include",,,,-24.7783096085409,-24.7783096085409,-24.7783096085409,-24.7783096085409,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0002","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",13,"04258275_2024-10-14_primary feather","04258275_2024-10-14_primary feather","04258275","primary","Primary",FALSE,0.236,3.34213786994107,"normalised_d15n",8.09220874561123,"live_measurement_0003","live_pheno_001|live_pheno_018",2,"04258275_2024-10-14","M",,,"South Island, New Zealand","Te Anau, Southland","Te Anau","AU migrant","migrant","Originally banded on King Island, Tasmania in 2010 as a first year",167.744617,-45.414383,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","13","include","include",,,,8.09220874561123,8.09220874561123,8.09220874561123,8.09220874561123,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0002","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",13,"04258275_2024-10-14_primary feather","04258275_2024-10-14_primary feather","04258275","primary","Primary",FALSE,0.236,3.34213786994107,"normalised_d13c",-22.4357835112693,"live_measurement_0004","live_pheno_001|live_pheno_018",2,"04258275_2024-10-14","M",,,"South Island, New Zealand","Te Anau, Southland","Te Anau","AU migrant","migrant","Originally banded on King Island, Tasmania in 2010 as a first year",167.744617,-45.414383,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","13","include","include",,,,-22.4357835112693,-22.4357835112693,-22.4357835112693,-22.4357835112693,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0003","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",14,"CP16140_2024-10-08_breast feather","CP16140_2024-10-08_breast feather","CP16140","breast","Breast",FALSE,0.228,3.36466177534886,"normalised_d15n",10.2436446696457,"live_measurement_0005","live_pheno_035|live_pheno_042",2,"CP16140_2024-10-08","F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","NI migrant","migrant","Resighting at Whangaehu river mouth, North Island on May 16",173.667221,-42.413402,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","14","include","include",,,,10.2436446696457,10.2436446696457,10.2436446696457,10.2436446696457,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0003","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",14,"CP16140_2024-10-08_breast feather","CP16140_2024-10-08_breast feather","CP16140","breast","Breast",FALSE,0.228,3.36466177534886,"normalised_d13c",-21.5316150652432,"live_measurement_0006","live_pheno_035|live_pheno_042",2,"CP16140_2024-10-08","F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","NI migrant","migrant","Resighting at Whangaehu river mouth, North Island on May 16",173.667221,-42.413402,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","14","include","include",,,,-21.5316150652432,-21.5316150652432,-21.5316150652432,-21.5316150652432,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0004","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",15,"CP16140_2024-10-08_primary feather","CP16140_2024-10-08_primary feather","CP16140","primary","Primary",FALSE,0.229,3.37238633440395,"normalised_d15n",15.3931344565886,"live_measurement_0007","live_pheno_035|live_pheno_042",2,"CP16140_2024-10-08","F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","NI migrant","migrant","Resighting at Whangaehu river mouth, North Island on May 16",173.667221,-42.413402,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","15","include","include",,,,15.3931344565886,15.3931344565886,15.3931344565886,15.3931344565886,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0004","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",15,"CP16140_2024-10-08_primary feather","CP16140_2024-10-08_primary feather","CP16140","primary","Primary",FALSE,0.229,3.37238633440395,"normalised_d13c",-17.7990321365754,"live_measurement_0008","live_pheno_035|live_pheno_042",2,"CP16140_2024-10-08","F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","NI migrant","migrant","Resighting at Whangaehu river mouth, North Island on May 16",173.667221,-42.413402,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","15","include","include",,,,-17.7990321365754,-17.7990321365754,-17.7990321365754,-17.7990321365754,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0005","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",16,"CP16409_2024-10-02_breast feather","CP16409_2024-10-02_breast feather","CP16409","breast","Breast",FALSE,0.235,3.34075915033133,"normalised_d15n",12.7790169166933,"live_measurement_0009","live_pheno_069|live_pheno_091",2,"CP16409_2024-10-02","F","266440","266440","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",172.431853,-43.845691,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","16","include","include",,,,12.7790169166933,12.7790169166933,12.7790169166933,12.7790169166933,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0005","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",16,"CP16409_2024-10-02_breast feather","CP16409_2024-10-02_breast feather","CP16409","breast","Breast",FALSE,0.235,3.34075915033133,"normalised_d13c",-22.3942241992883,"live_measurement_0010","live_pheno_069|live_pheno_091",2,"CP16409_2024-10-02","F","266440","266440","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",172.431853,-43.845691,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","16","include","include",,,,-22.3942241992883,-22.3942241992883,-22.3942241992883,-22.3942241992883,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
